epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.3493,1.20776,0.77377,1,0.60434,0.000368491,0.000368491,0.000368491
2,94.962,0.4546,0.89508,1,0.28719,0.000690062,0.000690062,0.000690062
3,141.457,0.32564,0.88852,1,0.35558,0.000962749,0.000962749,0.000962749
4,188.574,0.2714,0.89836,1,0.30836,0.000891022,0.000891022,0.000891022
5,235.148,0.22441,0.9541,1,0.16237,0.000817696,0.000817696,0.000817696
6,282.145,0.1833,0.97049,1,0.11984,0.00074437,0.00074437,0.00074437
7,328.955,0.14114,0.97049,1,0.117,0.000671044,0.000671044,0.000671044
8,375.841,0.12153,0.96721,1,0.14076,0.000597718,0.000597718,0.000597718
9,422.104,0.1126,0.96066,1,0.14829,0.000524392,0.000524392,0.000524392
10,468.819,0.09878,0.97377,1,0.12275,0.000451066,0.000451066,0.000451066
11,515.519,0.10241,0.97049,1,0.13667,0.00037774,0.00037774,0.00037774
12,562.097,0.08219,0.97049,1,0.14726,0.000304414,0.000304414,0.000304414
13,608.403,0.07412,0.96721,1,0.14761,0.000231088,0.000231088,0.000231088
14,654.817,0.06876,0.96721,1,0.14919,0.000157762,0.000157762,0.000157762
15,700.958,0.06861,0.96393,1,0.15946,8.4436e-05,8.4436e-05,8.4436e-05
