epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.639,1.79375,2.53719,1.90655,0.20319,0.28,0.10247,0.02554,2.48966,5.89819,2.85049,0.000661538,0.000661538,0.000661538
2,908.587,1.79785,2.26774,1.92305,0.5525,0.29704,0.33944,0.10109,2.28285,3.04971,2.37732,0.00124054,0.00124054,0.00124054
3,1343.48,1.8186,2.16621,1.9,0.76384,0.36,0.38336,0.0885,2.4051,3.24605,2.3955,0.00173155,0.00173155,0.00173155
4,1776.91,1.77351,2.09226,1.87503,0.70076,0.28,0.42251,0.1233,2.28431,2.51754,2.19751,0.001604,0.001604,0.001604
5,2211.66,1.73743,1.95279,1.84129,0.53542,0.52,0.47597,0.20305,2.15101,2.85718,2.12311,0.001472,0.001472,0.001472
6,2648.23,1.75252,1.94381,1.97083,0.58249,0.44,0.49853,0.14644,2.38016,2.15623,2.48913,0.00134,0.00134,0.00134
7,3072.97,1.69926,1.77838,1.88758,0.86109,0.56,0.58646,0.23756,2.3017,2.18493,2.2037,0.001208,0.001208,0.001208
8,3497.42,1.66991,1.72379,1.84685,0.93081,0.4,0.53568,0.16727,2.45353,2.05974,2.4554,0.001076,0.001076,0.001076
9,3921.39,1.64949,1.65432,1.85028,0.88154,0.44,0.55226,0.20825,2.10319,2.15305,1.97056,0.000944,0.000944,0.000944
10,4349.17,1.59595,1.53936,1.80367,0.6232,0.76,0.70648,0.26006,2.21446,1.89501,2.03949,0.000812,0.000812,0.000812
11,4776.15,1.56998,1.47026,1.77451,0.99879,0.6,0.70736,0.2041,2.33616,1.693,2.24064,0.00068,0.00068,0.00068
12,5202.99,1.54924,1.41299,1.74708,0.72739,0.72,0.77293,0.3176,2.07471,1.42572,1.90816,0.000548,0.000548,0.000548
13,5637.71,1.50964,1.336,1.7288,1,0.67656,0.82403,0.33817,2.19303,1.34001,2.05916,0.000416,0.000416,0.000416
14,6065.52,1.48942,1.29048,1.70235,0.89207,0.66176,0.77996,0.29645,2.28114,1.43132,2.13387,0.000284,0.000284,0.000284
15,6491.76,1.45233,1.2211,1.66274,0.78942,0.75009,0.78559,0.33577,2.23244,1.39706,2.09666,0.000152,0.000152,0.000152
